info{
rowcount:32
colcount:32
camerapos:Translation: X=5517.697 Y=2208.446 Z=386.023 Rotation: P=56.936283 Y=145.264801 R=0.000002 Scale X=1.000 Y=1.000 Z=1.000
cameraangle:0,45,0
biome:rock
creator:Baraklava
camerazoom:900.0
levelname:Rubble Trouble
}
tiles{
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,30,30,30,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,30,30,38,38,38,38,1,1,1,34,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,163,101,30,26,26,63,1,1,14,1,34,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,26,101,101,26,26,63,1,1,1,14,1,34,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,30,101,101,30,30,26,63,63,1,1,1,1,34,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,30,101,30,38,38,38,26,63,63,1,1,34,34,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,30,163,101,38,38,38,38,30,63,63,63,63,30,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,30,163,101,101,38,38,38,38,38,34,63,63,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,30,163,101,101,38,38,38,38,38,34,34,34,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,30,163,101,101,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,163,101,101,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,30,30,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
